,ema20_distance_atr,ema50_distance_atr,ema20_distance_percent,ema50_distance_percent,ema_cross_distance,ema20_slope,ema50_slope,ema_trend_duration,ema_alignment_score,atr_percent,atr_percentile_252,rolling_volatility,volatility_rank,volatility_regime_score,macd_normalized,macd_histogram_zscore,macd_signal_distance,momentum_rank,rsi_percentile,roc_3,roc_12,momentum_acceleration,body_percent,upper_wick_percent,lower_wick_percent,close_position,range_percent,body_rank,hour_sin,hour_cos,day_sin,day_cos,rolling_zscore,rolling_percentile,rolling_rank,rolling_quantile,rolling_std,rolling_mean_distance
roc_12,0.8584839228936413,0.7066324466175182,0.8687730315331073,0.7115598002489547,0.387281831299754,0.8591529666807747,0.6707916303613017,0.01719625532476719,0.6438159057254808,-0.010457181504823889,-0.016362858343790133,0.004855252202581532,-0.0037189005334087822,-0.016362858343790133,0.6407843722773965,0.6955684164453945,0.7710444662954329,0.7948873557335182,0.7704206754072396,0.4332843130810667,1.0,0.00399939821716563,0.004596448488530442,0.041324478732100704,-0.04455887703710222,0.16234610353077894,-0.010933536780850692,0.004117118416234726,0.012801430966782703,-0.008235162031127936,-0.008709347261298284,-0.01370486314368413,0.07148578398890529,0.10230038355739658,0.10230877709360865,0.39195514913334434,0.006026710158202327,0.07148578398890529
momentum_acceleration,0.18357801575088564,0.0682645940597281,0.1773802071856425,0.06495276787268421,-0.09015969303461907,0.034159749198045944,-0.030878514968603915,-0.003917993958985373,0.04535963752595107,-0.002210857291594243,0.0045113020499460465,-0.0025515309458861777,0.0024879165422035596,0.0045113020499460465,-0.11471232820027076,0.07121716486601841,0.043580274527759616,0.037927875692646024,0.17582713818907383,0.6691268783159955,0.00399939821716563,1.0,0.010269930908611592,0.043688718125353125,-0.05459418410953609,0.26384962815215973,-0.013236210306871133,0.010952572809106581,-0.004410174601442296,0.015567337611542718,-9.853773785049817e-06,-0.005621200745240057,0.37335454619843433,0.36065247621374036,0.3606578698212017,0.008112738255959762,-0.0024963467183611097,0.37335454619843433
body_percent,0.010372438006409572,0.008580341797993272,0.009901788738995687,0.007559416727561725,0.004223750261001807,0.003289415404736733,0.0037932868244173754,0.0053813419665221405,0.0036493562227163626,0.027313305687315468,0.057135366774107424,0.0641682299532744,0.09754510002262261,0.057135366774107424,0.0024443023670498855,0.004913138363599442,0.004245720014993404,0.007917628596327147,0.006359531738460415,0.01557641326881828,0.004596448488530442,0.010269930908611592,1.0,-0.6012989157347799,-0.6178483591265416,0.027198534845251927,0.19652316597212485,0.9884007294493072,0.008043154725911859,0.013325910656797224,0.0012419668934100607,-0.002481869464975857,0.03326521143065283,0.033358711179642064,0.03344601864261881,0.07457159030263665,0.06417485544985414,0.03326521143065283
upper_wick_percent,0.04861908865780814,0.024473512124671068,0.043691723188270366,0.020674172124521353,-0.009391867171061503,0.02397425844626805,0.006321546368803347,-0.009977999159603061,0.025496587421047125,-0.032932182130712445,-0.04801039774084588,-0.050743039818200754,-0.06562695119291966,-0.04801039774084588,0.005194762645190158,0.04334427611515816,0.04337584722491537,0.04815546269317235,0.055833221871283575,0.05911457249190229,0.041324478732100704,0.043688718125353125,-0.6012989157347799,1.0,-0.18142735554947473,-0.366170322873712,-0.15119535952792684,-0.5939168136769254,-0.00307405539902972,-0.0035098161908188805,0.009577583556905472,-0.000786796617159058,0.0695364910585636,0.07050865283673151,0.07049481122415903,-0.03534655333703569,-0.05070517834043985,0.0695364910585636
lower_wick_percent,-0.05932702933691721,-0.03445811884493378,-0.053829958860271976,-0.029185546053428685,0.0034242806346524934,-0.025487938770144082,-0.009949667579639868,0.003190479004165977,-0.027885245538106535,0.0014044552856231946,-0.02943129051943937,-0.03195789064880877,-0.06647449649463741,-0.02943129051943937,-0.007545163101722776,-0.046620151674736474,-0.04569538334310883,-0.05587102041392899,-0.06152286380243796,-0.07617832074841728,-0.04455887703710222,-0.05459418410953609,-0.6178483591265416,-0.18142735554947473,1.0,0.3229166849212214,-0.09548221154967174,-0.610547926319082,-0.009541599954643857,-0.02262655648346992,-0.010138637078779277,0.0027177385302660814,-0.11156515910069195,-0.1128510933724213,-0.11290853687015914,-0.04968782172970891,-0.03200198713195086,-0.11156515910069195
close_position,0.26151926147850685,0.17008153742163934,0.2522891133118001,0.16496943501177,0.03146670779947714,0.07350367810385686,0.05393174797377739,0.006335958300542878,0.14597398729593242,0.01959686418788748,0.013790206536704295,0.015591427087638958,0.005888725595578831,0.013790206536704295,0.04104125830539893,0.08615175944218732,0.08802148205987659,0.1870208285751889,0.2341331734075532,0.3746708679706303,0.16234610353077894,0.26384962815215973,0.027198534845251927,-0.366170322873712,0.3229166849212214,1.0,0.024558499888823363,0.027321176817289426,-0.003924571584794543,0.009341649315581319,-0.01222202594433254,-0.011314281997550408,0.7446205359414199,0.7466509944424073,0.7466420874393483,0.10387101369247174,0.015739249859359164,0.7446205359414199
range_percent,-0.0207541345836593,-0.014497586892741126,-0.012431301333208642,-0.006460273267629685,-0.0032673954522723456,-0.012772313878415141,-0.0056600535339222735,0.03022848631330182,-0.022659808904461367,0.6174498673000649,0.3327298741717565,0.4648354776735656,0.15292758000085427,0.3327298741717565,-0.014930874349960257,-0.020202579076159282,-0.019655196295998847,-0.027633684109954527,-0.03532581877407773,-0.007317821533954395,-0.010933536780850692,-0.013236210306871133,0.19652316597212485,-0.15119535952792684,-0.09548221154967174,0.024558499888823363,1.0,0.19265902308766245,-0.2624874281446582,-0.1700188363735848,-0.0004932805581198739,-0.0071905342519319,0.00943789103949381,0.005304571663344321,0.005359753168723184,0.353861220100155,0.4648391297185065,0.00943789103949381
body_rank,0.010111509023015768,0.0075595348063849654,0.00971599992552347,0.007003324883820712,0.0022721955358477376,0.0028290192324875625,0.0030701514524165445,0.0021258878047601382,0.002409884353698768,0.018782423800291735,0.04213278602088444,0.04705275178215127,0.07984809913768642,0.04213278602088444,0.0014811121061236415,0.005228901790712427,0.00445376301941923,0.008491094986799218,0.007949769602652536,0.01566635937054095,0.004117118416234726,0.010952572809106581,0.9884007294493072,-0.5939168136769254,-0.610547926319082,0.027321176817289426,0.19265902308766245,1.0,0.007043035366102017,0.013513258391383419,0.0021460540674884507,-0.0020095593623816943,0.033484619517981505,0.033991084873850025,0.034068873186293085,0.054739645220076974,0.047061160857498334,0.033484619517981505
hour_sin,0.011606812302530344,0.007989550207558435,0.007995810329436474,0.003272855781951579,0.005268885255295035,0.00648124628311787,0.0029021228804217967,0.0028492451805362706,0.010344350909046104,-0.16502595007262388,-0.2965126406318308,0.02640440377276822,0.03217398669997267,-0.2965126406318308,0.0053345853870853735,0.020976585529305924,0.019930014672438098,0.021691912905338485,0.010789335649789605,0.0035787301252272366,0.012801430966782703,-0.004410174601442296,0.008043154725911859,-0.00307405539902972,-0.009541599954643857,-0.003924571584794543,-0.2624874281446582,0.007043035366102017,1.0,0.007959307444769121,-0.0017630571512918941,0.0009482886335959338,-0.0012174866906029236,-0.0017587453985759911,-0.0017667948775943125,0.00472243251705784,0.026404488569997143,-0.0012174866906029236
hour_cos,-0.004358428307152666,-0.004753153193365218,-0.0022071099183526314,-0.0017781555074742289,-0.007148825473023341,-0.0038072068256664207,-0.0027663803162708256,-0.020968648209857364,-0.004582585575688139,0.1485681413728499,0.151986934796455,0.13846095984446088,0.10566502140340825,0.151986934796455,-0.006577860267567496,-0.00045460156364193375,-0.004046700521270515,-0.0006716457269784303,0.0013094563870054735,0.01570614860801011,-0.008235162031127936,0.015567337611542718,0.013325910656797224,-0.0035098161908188805,-0.02262655648346992,0.009341649315581319,-0.1700188363735848,0.013513258391383419,0.007959307444769121,1.0,0.0018489011876779587,-0.002025688801348071,0.011223675563419619,0.01206442357213229,0.012055363263634709,0.10151082664133629,0.13845521041711806,0.011223675563419619
day_sin,-0.010296120074327526,-0.011262643504221275,-0.009422264131945893,-0.008707350241260741,-0.011934755539961282,-0.008664377434007093,-0.008394746256784063,0.018744342554290267,-0.011314151952674415,-0.059765529770765935,-0.09276599457801894,-0.07104857993615304,-0.07495390996250563,-0.09276599457801894,-0.011156743916921837,0.0012521943170008699,0.0016572723234713244,-0.0090315428706853,-0.01614678508870131,-0.0045354322739375045,-0.008709347261298284,-9.853773785049817e-06,0.0012419668934100607,0.009577583556905472,-0.010138637078779277,-0.01222202594433254,-0.0004932805581198739,0.0021460540674884507,-0.0017630571512918941,0.0018489011876779587,1.0,0.2962900531871293,-0.0020961186405815614,-0.0034977657670275924,-0.00349232255508167,-0.03827504011007942,-0.07108331059567603,-0.0020961186405815614
